#id	Family_cod	Family	family_description	family_type	specie
RF00178	mir-24	mir-24 microRNA precursor family	Gene; miRNA;	Eukaryota; 	This family represents the microRNA (miRNA) mir-24 family. miRNAs are transcribed as ~70nt precursors (modelled here) and subsequently processed by the Dicer enzyme to give a ~22nt product. In this case the mature sequence comes from the 3' arm of the precursor. The extents of the hairpin precursors are not generally known and are estimated based on hairpin prediction. The products are thought to have regulatory roles through complementarity to mRNA. The involvement of Dicer in miRNA processing suggests a relationship with the phenomenon of RNA interference. miRNAs are numbered based on the sequence of the mature RNA. miR-24 has been identified in human and mouse [1].
RF00179	GAIT	GAIT element	Cis-reg;	Eukaryota; 	This family represents a cis-acting element in the 3'-UTR of the ceruloplasmin (Cp) gene called gamma interferon inhibitor of translation (GAIT). The GAIT element is involved in selective translational silencing of the Cp transcript. Ceruloplasmin (Cp) is a multifunctional, copper-containing glycoprotein produced by the liver and secreted into the plasma. As an acute-phase protein, its plasma concentration can double during multiple inflammatory conditions. Plasma Cp has been reported to be an independent risk factor for cardiovascular disease, including atherosclerosis, carotid restenosis after endarterectomy, and myocardial infarction. Translational silencing of Cp, and possibly other transcripts, mediated by the GAIT element may contribute to the resolution of the local inflammatory response following cytokine activation of macrophages [1].
RF00180	REN-SRE	Renin stability regulatory element (REN-SRE)	Cis-reg;	Eukaryota; 	This family represents a cis-acting element in the 3'-UTR of the renin (REN) gene called renin stability regulatory element (REN-SRE) which acts to regulate renin production. REN-SRE is thought to destabilise the mRNA, promoting degradation of the sequence. It has been found that a number of proteins bind to the REN-SRE to stabilise the mRNA and promote translation. Renin is secreted by renal juxtaglomerular cells and catalyses the conversion of angiotensinogen into angiotensin I which is the rate-limiting step in the production of angiotensin II. Angiotensin II induces hypertension and REN therefore requires tight control to ensure expression appropriate to need [1].
RF00181	SNORD113	Small nucleolar RNA SNORD113/SNORD114 family	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	The imprinted human domain at 14q32 contains two clusters of tandemly repeated small nucleolar RNAs named 14q(I) and 14q(II) snoRNAs. These two clusters are named SNORD113 and SNORD114 respectively in the HGNC approved gene symbol nomenclature. The snoRNAs found in both clusters are clearly related and are represented here by a single family. These snoRNAs are intron encoded and are processed from the tissue-specific non-coding human MEG8 RNA, which lies downstream of the imprinted genes DLK1 and GTL2. snoRNAs 14q(I) and 14q(II) differ from previously identified C/D box snoRNAs in their expression profiles and lack of complementarity to rRNA and snRNA. Homologues of these snoRNAs are found in the imprinted non-coding mouse transcript Rian, and in the rat non-coding Bsr (brain-specific repetitive) RNA.
RF00182	Corona_package	Coronavirus packaging signal	Cis-reg;	Eukaryota; Viruses; 	This family represents a predicted coronavirus packaging signal. Within a virally infected cell, viral genome and viral proteins specifically and selectively unite into progeny viruses [2]. This process is called packaging and is vital for viral replication. Viral RNA containing a packaging signal allows the sequence to be efficiently packaged into the virion [1].
RF00183	G-CSF_SLDE	G-CSF factor stem-loop destabilising element (SLDE)	Cis-reg;	Eukaryota; 	This family represents the granulocyte colony-stimulating factor stem-loop destabilising element (G-CSF SLDE). G-CSF is secreted by fibroblasts and endothelial cells in response to the inflammatory mediators interleukin-1 (IL-1) and tumour necrosis factor alpha and by activated macrophages. The synthesis of G-CSF is regulated both transcriptionally and through control of mRNA stability. In unstimulated cells G-CSF mRNA is unstable but becomes stabilised in response to IL-1 or tumour necrosis factor alpha, and also in the case of monocytes and macrophages, in response to lipopolysaccharide. It is likely that the presence of the SLDE in the G-CSF mRNA contributes to the specificity of regulation of G-CSF mRNA and enhances the rate of shortening of the poly(A) tail [1].
RF00184	PVX_3	Potato virus X cis-acting regulatory element	Cis-reg;	Viruses; 	This family represents a cis-acting regulatory element which is found in the 3' UTR of the Potato virus X genome. This element has been found to be required for minus strand RNA accumulation and is therefore essential for efficient viral replication [1].
RF00185	Flavi_CRE	Flavivirus 3' UTR cis-acting replication element (CRE)	Cis-reg;	Viruses; 	This family represents the Flavivirus 3'-SL cis-acting replication element (CRE). The family is thought to play a crucial role in replication and is thought to be needed for the formation of a "replication complex" [1]. Although evidence has been presented for an existence of a pseudoknot structure in this RNA [2], it does not appear to be well conserved across flaviviruses. Deletions of the 3' UTR of flaviviruses have been shown to be lethal for infectious clones.
RF00186	SNORD101	Small nucleolar RNA SNORD101	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	snoRNA U101 is a member of the C/D class of snoRNA which contain the C (UGAUGA) and D (CUGA) box motifs and guide the 2'-O-methylation of rRNA and snRNAs. The precise target of this family is unknown [1].
RF00187	SNORD102	Small nucleolar RNA SNORD102	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	snoRNA U102 is a member of the C/D class of snoRNA which contain the C (UGAUGA) and D (CUGA) box motifs. It is found within intron 3 of the L21 ribosomal protein gene. The H/ACA box snoRNA ACA27 is found in the same host gene within a different intron [1]. This family is predicted to direct a highly conserved 2'-O-methylation in 28S rRNA [2].
RF00188	SNORD103	Small nucleolar RNA SNORD103/SNORD85	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	This family includes the snoRNAs SNORD103 (U103) and SNORD85 (HBII-251) . The members of this family belong to the C/D class of snoRNAs which contain the C (UGAUGA) and D (CUGA) box motifs. In the human genome, there are two identical copies of SNORD103 (SNORD103A and SNORD103B) which share the same host gene with SNORD85. All three snoRNAs are predicted to guide the 2'O-ribose methylation of 18S rRNA G601 [3].
RF00189	SNORD95	Small nucleolar RNA SNORD95	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	snoRNA U95 (also referred to as Z38 ) is a member of the C/D class of snoRNA which contain the C (UGAUGA) and D (CUGA) box motifs. This family is predicted to target two neighbouring 2'-O-methylations, Cm2801 and Am2792, in 28S rRNA [1].
RF00190	SNORA16	Small nucleolar RNA SNORA16B/SNORA16A family	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	The members of this family belong to the H/ACA class of snoRNAs which are predicted to guide the sites of modification of uridines to pseudouridines [2]. This family includes human snoRNAs U98b (SNORA16B) and ACA16 (SNORA16A) [1,2]. There are currently no predicted targets RNAs for either of these snoRNAs [1,2].
RF00191	SNORA57	Small nucleolar RNA SNORA57	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	U99 belongs to the H/ACA class of snoRNAs which are thought to guide the sites of modification of uridines to pseudouridines, the target for this family is unknown [1].
RF00192	BLV_package	Bovine leukaemia virus RNA packaging signal	Cis-reg;	Viruses; 	This family represents the bovine leukaemia virus RNA encapsidation (packaging) signal which is essential for efficient viral replication [1].
RF00193	CTV_rep_sig	Citrus tristeza virus replication signal	Cis-reg;	Viruses; 	This family represents a predicted replication signal which is highly conserved in citrus tristeza viruses. Replication signals are required for viral replication and are usually found near the 5' and 3' termini. This family is predicted to form ten stem loop structures some of which are essential for functions that provide for efficient viral replication [1].
RF00194	Rubella_3	Rubella virus 3' cis-acting element	Cis-reg;	Viruses; 	This family represents a cis-acting element found at the 3' UTR in the rubella virus. This family contains three conserved step loop structures. Pfam:PF00262 (CAL) which is known to bind calcium in most eukaryotic cells, is able to specifically bind to the first stem loop. CAL binding is thought to be related to viral pathogenesis and in particular arthritis which is a occurs frequently in rubella infections in adults and is independent of viral viability. All stem loop structures are thought to be important for efficient viral replication and deletion of stem loop three is known to be lethal [1].
RF00195	RsmY	RsmY RNA family	Gene; sRNA;	Bacteria; 	The rsmY gene, like rsmZ (Rfam:RF00166), is regulated by the GacS/GacA signal transduction system in the plant-beneficial soil bacterium and biocontrol model organism Pseudomonas fluorescens CHA0. GacA/GacS target genes are translationally repressed by the small RNA binding protein RsmA. RsmY and RsmZ RNAs bind RsmA to relieve this repression and so enhance secondary metabolism and biocontrol traits [1].
RF00196	AMV_RNA1_SL	Alfalfa mosaic virus RNA 1 5' UTR stem-loop	Cis-reg;	Viruses; 	This family represents a putative stem-loop structure found in the 5' UTR in RNA 1 of alfalfa mosaic virus. RNA 1 is responsible for encoding the viral replicase protein P1. This family is required for negative strand RNA synthesis in in the alfalfa mosaic virus and may also be involved in positive strand RNA synthesis [1].
RF00198	SL1	SL1 RNA	Gene;	Eukaryota; 	This family represents the SL1 RNA. SL1 is commonly located in the spacer region between 5S-rRNA genes where it is involved in trans-splicing. Trans-splicing is a form of RNA processing. The acquisition of a spliced leader from a SL RNA is a intra-molecular reaction which precisely joins exons derived from separately transcribed RNAs. This mechanism of mRNA maturation has been shown to occur in a number of lower eukaryotes and is commonplace in nematodes [1].
RF00199	SL2	SL2 RNA	Gene;	Eukaryota; 	This family represents SL2 RNA. SL2 RNA is involved in trans splicing in lower eukaryotes. Trans-splicing is a form of RNA processing. The acquisition of a spliced leader from a SL RNA is a intra-molecular reaction which precisely joins exons derived from separately transcribed RNAs [2]. Approximately 25% of C. elegans genes are organised into polycistronic transcription units and the presence of SL2 on an mRNA is an indication the the gene is in an operon [1].
RF00200	snoZ199	Small nucleolar RNA Z199	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	snoZ199 is a C/D box small nucleolar RNA, which acts as a methylation guide RNA for sites on 18S and 25S rRNA. Rice snoZ199 is reported to be homologous to Arabidopsis snoR13.
RF00201	snoZ278	Small nucleolar RNA Z278	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	snoZ278 is a C/D box small nucleolar RNA. Its methylation guide targets have not been reported.
